Codigo Invias,NombreEstacionPeaje,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018
3889,SAN DIEGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31802,117870,121786,122692,115241,118965,115915,142983,127832,108600,119758,117277,118439,119790,125238,124976,118004,123163,121310,145612,133587,66367,0,0,0,0,0,0,0,0,0,0
3986,SAN GIL - CURITI,179553,110333,119472,145970,144223,138532,125756,128825,115125,138574,137945,169631,183398,109118,125041,138589,125833,144465,143866,138878,123164,148410,139253,180265,191839,113766,154733,111937,127895,128810,129025,132620,119282,139235,136215,171958,184989,111221,124150,149156,124186,137677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3981,SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148957,127849,129824,129500,153537,147102,126869,142780,135545,137221,132636,142226,137910,133742,140636,139151,157732,149512,129572,148342,146411,150843,152720,162508,160439,158867,165781,162366,185555,175205,93411,0,0,0,0,0,0,0,0,0,0
3820,SAN ONOFRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8522,74294,81662,57323,74191,54475,60597,59654,61792,61326,55921,56442,54804,66585,73361,50144,56357,68002,55238,60156,58784,56056,53654,54549,54226,68017,75748,51664,63951,60540,56138,58363,62393,58692,53250,57009,55632,71468
3888,SAN PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59307,80159,75465,85765,85122,65585,74338,65591,68147,69837,70869,74179,66609,73338,71301,83320,84332,64049,73278,76955,76775,75828,75756,84030,81627,77562,75690,87695,86552,66689,76136,72343,77115,76355,80658,87461,77080,79908,78649,91236
3929,SANT'AGUEDA,113738,75091,85312,100550,87021,95544,95918,99682,85022,99559,96145,121663,130338,83074,88004,102523,96403,110040,106602,109759,94781,107450,101660,132833,138482,89924,120544,88754,101169,93851,101415,116768,94668,106737,100826,125486,136808,86150,94176,108604,87896,105126,106744,106499,93052,103511,98207,124049,91233,12290,59931,70013,58064,57158,73155,72017,62237,70119,67190,93636
3943,SIBERIA,520284,393274,451514,467993,437452,473408,448398,494793,431537,483431,468163,560315,552456,417070,494647,475905,501459,518577,511152,537049,472496,532647,515292,617766,593082,434027,521217,453812,506815,504687,549385,509549,457250,517612,489411,577447,575904,417046,472573,513748,486372,516437,530428,526387,471594,533782,516934,623747,601053,440175,539342,480563,492264,532519,558465,543760,498169,537613,525803,636909
3949,SUPIA,0,0,0,0,0,0,0,0,0,0,0,159155,169486,108160,118745,134812,128139,146775,140668,144012,124563,142040,134225,173317,181113,120263,166732,116819,135567,131002,139575,156531,127075,144717,137236,168118,183076,117369,129101,147243,123510,146363,147640,146777,128391,142544,135821,174110,176360,108525,141348,130131,120885,135376,147951,145196,124476,142380,133701,164911
3870,TARAPACA I,78432,62201,68486,69421,70363,66666,71464,72440,69661,77056,72435,79248,87856,68238,66615,73789,73151,73294,79329,79141,83280,90582,89490,92986,102351,79860,87081,80870,83168,72835,80616,151346,165040,99615,93678,101941,109776,85098,89954,88638,85031,88404,91473,91169,84962,89086,84045,104886,96067,59858,69606,72441,71817,60035,73961,73372,69485,74292,69941,80484
3897,TARAPACA II,248132,177613,200290,218138,200128,213862,215132,224501,197992,223803,220239,270060,271942,186620,213915,224181,226622,243605,240292,240708,209842,230736,223407,285693,290506,202772,252465,210482,233791,231486,242645,185606,138327,234563,227970,278000,289112,194414,220196,240146,224577,241662,250220,244132,220255,244279,242437,293664,276101,170038,240857,223729,221877,201231,252421,247129,221736,241749,234737,290338
3916,TUCURINCA,220529,147878,154824,179772,162375,168661,176553,161492,153319,171788,163399,191464,217835,152454,171214,176081,169243,173428,184229,174712,165210,184233,172598,207003,234135,151783,183028,158484,163421,167776,169309,172250,162009,174783,169189,205548,234790,153785,168873,186192,168626,174852,175973,172286,164844,180779,170851,212810,245396,155709,189006,184845,179888,188059,193380,179758,169771,186504,179904,218307
4805,TUNIA,198493,152726,164839,184654,160771,174272,188158,185938,166346,184046,178740,210932,210679,154223,172795,197188,189699,191620,205159,203313,183438,198554,198157,238041,239447,183591,226546,186438,201084,133276,214002,225164,199745,212793,214318,246716,247760,182300,200406,226632,204134,213592,236214,228037,204792,207858,181073,256717,257357,185831,235556,214390,208193,218417,241636,229114,211439,228591,0,0
3883,TURBACO,422394,373969,422538,401435,410986,392097,416746,418520,403047,410260,390871,455550,444619,388147,444312,423416,441836,415289,441187,444170,427816,448279,423650,485591,481638,440258,480517,455233,474672,457723,482933,481812,468534,471112,442580,516538,501050,446770,518309,502487,513981,503437,527852,528266,497366,523040,484644,562271,540918,478475,542173,521376,525838,506831,540190,543660,524894,538207,503249,578335
3813,TUTA,372570,283016,319505,319827,284738,333360,328492,339087,309825,346329,331778,423677,402865,301918,325620,347121,358463,369866,363008,364345,336203,378277,362430,465765,429577,327420,391400,335927,370244,351435,298344,385503,348838,387402,372255,469794,437526,332254,370023,391190,375784,384044,403165,393365,357639,395743,387669,502659,460916,342177,410338,370527,385147,405375,428274,422143,388911,419903,417536,541955
3860,UNISABANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6918,7898,8454,7808,7005,6104,6307,8184,5835,6378,7062,7393,6443,6526,6554,6157,6903,6743,6809,6995,6910,7141,7167,7267,6712,6497,6258,6220,5627,5477,5819,4441,4037,4690,5073,4812
3798,VALENCIA,101634,80993,86618,91540,88643,87199,92021,90786,84492,90334,89733,103454,102721,82528,92944,98505,99318,97924,103004,98120,89966,98832,95657,115201,112179,88418,100468,94017,96844,94989,102373,98478,92839,99347,97008,115633,112258,87459,95134,107777,99549,97907,100123,97247,91254,98391,96151,117312,114506,86696,102437,105465,99249,100226,105625,100389,94410,102661,101740,120647
3842,VERACRUZ,120199,89806,96360,96731,97529,92309,98616,101935,96555,99514,93533,111558,117402,83298,93787,91635,90448,94043,106313,101465,97328,100138,95244,113009,122715,85834,97087,83956,85356,86725,89109,90817,87291,92137,88134,105451,113324,83465,92038,92595,91172,91912,90843,100500,95723,94862,91045,111449,114198,82852,96216,87725,87860,87651,93455,94608,86175,93941,90363,108649
3856,VERSALLES (PRIMAVERA),0,0,0,0,0,0,0,0,0,0,150867,189327,195852,128239,140735,157031,150568,181337,167193,171187,147561,168117,163579,202618,209178,136130,170204,121431,150072,137829,145076,141061,119460,146553,158726,196501,209023,140363,153830,174486,153825,174231,177202,175052,155386,174389,166653,209504,208437,138205,177809,159993,167315,177063,189962,183690,154854,175992,169323,206170
5607,VILLARICA,285580,233690,253082,273353,248706,255449,278121,273829,254879,273377,267641,311833,302769,241482,266307,288133,280441,281887,298834,296260,275597,291270,288297,339700,330247,272409,321510,277106,295280,237760,318263,330214,300347,316619,316328,364238,349529,272835,300226,323431,306681,314306,340781,334305,307671,316187,276017,375138,362643,280022,343165,317608,315641,322113,351726,341067,320338,342988,0,0
3920,ZAMBITO,147292,93141,99991,117580,69804,106235,118967,109063,106212,120191,104540,138999,149528,101682,112376,112480,109058,114380,126068,123303,119827,127886,122247,152478,169766,105671,125325,108724,108422,116855,115016,120791,117151,128699,118375,151874,173920,100372,106696,121150,103909,114131,113283,111642,108440,78798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
