sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
LMC|LMC|LA MACARENA|La Macarena|Meta|Regional|2.1736|-73.7861|MUNICIPIO|MUNICIPIO|1600|15|26000||770| 1940,000|||2C|Público|27136|50|50350
LME||LOS MOCHUELOS|Cereté|Córdoba|Aeródromo|8.9101|-75.7996|FASE LTDA|FASE. LTDA.|800|15|4000||466| 5528,000|||1A|Fumigación|3|23|23162
LML||LAS MALVINAS|Puerto Gaitán|Meta|Aeródromo|||||||||||||||8|50|50568
LMN||LOS MULATOS|El Charco|Nariño|Aeródromo|||||||||||||||624|52|52250
LMR||LOS MORROS|San Onofre|Sucre|Aeródromo|||||||||||||||6|70|70713
LMS||LOS MANGOS|Saldaña|Tolima|Aeródromo|3.9158|-74.9819|JORGE ALVIRA GAMBOA|FUMIVILLA|800|10|2000||1150| 6307,000|||1A|Fumigación||73|73671
LMT||LA MARIA|Purificación|Tolima|Aeródromo|3.8825|-74.9871|ALIANSA S.A.S.|FIBA S.A.|800|10|2000||1059| 1584,000||2017-04-02|1A|Fumigación||73|73585
LOB||LOS BALTICOS|Puerto López|Meta|Aeródromo|4.1286|-73.1319|FERNANDO TOVAR TAMAYO|ECO LTDA.|650|10|2000||686| 3024,000||2014-08-11|1A|Fumigación|1|50|50573
LOC||LOPEZ DE MICAI|López de Micay|Cauca|Aeródromo|2.9539|-77.195|MUNICIPIO|MUNICIPIO|800|16|2300||340|  443,000|||1A|Público|181|19|19418
LOM||LOS MILAGROS|Maní|Casanare|Aeródromo|4.7981|-72.2342|FUMIAGRIC LTDA.|AGIL LTDA.|750|10|2000||410| 2005,000|||1A|Fumigación|141|85|85139
LPA||LA PALMA|Bosconia|Cesar|Aeródromo|9.8394|-73.8672|HERNAN DIEGO PALAU E.|SIMON LOZADA FOMEQUE|940|10|2000||121| 3825,000||2016-08-08|1A|Fumigación|33|20|20060
LPD||LA PEDRERA|La Pedrera|Amazonas|Aeródromo|-1.3243|-69.5816|GOBERNACION|EL MISMO|1050|20|26000||262|  399,000|||2B|Público|2073|91|91407
LPG||EL GAVILAN|La Primavera|Vichada|Aeródromo|5.2554|-69.7342|FRANCISCO MATIZ SALAZAR|FRANCISCO MATIZ S.|1100|18|4800||332| 5915,000||2015-12-03|1A|Privado|18|99|99524
LPL||LOS PLANES|Apartadó|Antioquia|Aeródromo|7.834|-76.6453|UNIBAN|CALIMA S.A.|730|15|4500||108| 1425,000|||1A|Fumigación|79| 5| 5045
LPR||EL CIMARRON|La Primavera|Vichada|Aeródromo|5.9371|-69.2579|PRESTIGE COLOMBIA LTDA|PRESTIGE COLOMBIA L|1000|15|3500||318| 4740,000|||1A|Privado|58|99|99524
LPS||LA PONDEROSA|Puerto Wilches|Santander|Aeródromo|7.4614|-73.7464|PALMAS MONTERREY S.A.|PALMAS MONTERREY|870|15|4000||295| 2087,000|||1A|Privado|22|68|68575
LPV||RANCHO ALEGRE|La Primavera|Vichada|Aeródromo|||||||||||||||235|99|99524
LQM||CAUCAYA|Puerto Leguízamo|Putumayo|Regional|-0.1823|-74.7708|MUNICIPIO|MUNICIPIO|1170|23|28000||609| 6268,000|||2B|Público|5810|86|86573
LRA||SAN JOSE|Lérida|Tolima|Aeródromo|4.911|-74.889|HAROLD IVAN BENAVIDES|FIBA LTDA|680|10|2000||866| 4311,000|||1A|Fumigación|11|73|73408
LRI||HACIENDA GARCIA|Lérida|Tolima|Aeródromo|4.8531|-74.8892|ALFONSO GUTIERREZ DUSSAN|ALFONSO GUTIERREZ DUSSAN|550|10|2000||1085| 6475,000|||1A|Privado|1|73|73408
